"sources","layers"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_nomi_di_sezione"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_sezioni_topo.1"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_sezioni_topo.5"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_comunita_topo"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_delimitazione_fogli"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_delimitazione_fogli.1"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_delimitazione_fogli.2"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_delimitazione_fogli.3"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_delimitazione_fogli.4"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_delimitazione_fogli.5"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_delimitazione_fogli.6"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_riempimento_raster"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_gcp"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_castore2"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_regione"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatacque.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatacque.svil_xyz.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatstrade.rt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscatasto","rt_cat.idcatstrade.svil_xyz.rt"
